City,Cloudiness,Country,Date,Max Temp,Wind Speed,Lat,Lng,Humidity
Ilebo,12,CD,1544018203,303.206,1.02,-4.33,20.59,73
Sioux Lookout,90,CA,1544017380,266.15,2.6,50.1,-91.92,92
Brigantine,90,US,1544017200,272.55,2.1,39.41,-74.36,84
Karratha,0,AU,1544018203,296.656,3.92,-20.74,116.85,56
Belgrade,40,RS,1544014800,279.15,5.1,44.82,20.46,70
Georgetown,20,GY,1544014800,301.15,6.2,6.8,-58.16,74
Fort Nelson,40,CA,1544014800,259.15,1.82,58.81,-122.69,84
Grindavik,75,IS,1544013000,274.15,10.3,63.84,-22.43,100
Tuktoyaktuk,88,CA,1544017882,263.806,3.47,69.44,-133.03,98
Minas Novas,44,BR,1544015887,297.044,2.06,-17.22,-42.59,96
Maldonado,75,UY,1544014800,292.15,7.7,-34.91,-54.96,68
Willmar,90,US,1544016900,268.15,2.1,45.12,-95.04,92
Nanortalik,32,GL,1544018010,273.581,21.42,60.14,-45.24,85
Cabo San Lucas,5,MX,1544015640,291.15,2.6,22.89,-109.91,82
Meulaboh,92,ID,1544017981,298.231,0.57,4.14,96.13,100
Saint-Philippe,90,CA,1544016900,266.25,1.42,45.36,-73.48,92
Brusyliv,90,UA,1544016600,274.15,4,50.28,29.52,96
Port Hardy,75,CA,1544014800,272.15,2.1,50.7,-127.42,92
Hofn,90,IS,1544014800,272.15,5.1,64.25,-15.21,86
Oussouye,0,SN,1544014800,307.15,3.1,12.49,-16.54,32
Penzance,90,GB,1544016000,286.15,6.2,50.12,-5.53,100
Biltine,0,TD,1544018207,305.156,4.27,14.53,20.93,19
Mandalgovi,24,MN,1544018207,249.031,3.57,45.76,106.27,65
Zapolyarnyy,75,RU,1544016000,270.15,3.6,69.43,30.82,92
Katangli,12,RU,1544018017,257.806,10.27,51.71,143.23,100
Vanimo,92,PG,1544017981,302.206,4.32,-2.67,141.3,100
Naryan-Mar,68,RU,1544017990,265.931,4.52,67.67,53.09,83
Nikolskoye,75,RU,1544016600,276.15,6,59.7,30.79,86
Mount Isa,8,AU,1544016600,298.15,4.07,-20.73,139.49,20
Lagos,0,NG,1544015085,305.644,2.21,6.46,3.39,74
Qaanaaq,68,GL,1544017870,256.031,5.72,77.48,-69.36,98
Ribeira Grande,20,PT,1544014800,291.15,7.2,38.52,-28.7,63
Gueret,0,FR,1544016600,285.15,3.1,46.17,1.87,76
Bowen,92,AU,1544018209,298.481,9.87,-20.01,148.25,100
Tara,80,JP,1544018209,284.131,1.72,33,130.15,100
Butaritari,64,KI,1544017916,302.406,4.12,3.07,172.79,100
Sampit,80,ID,1544018210,298.206,2.62,-2.54,112.95,92
Pangai,68,TO,1544018210,299.881,7.92,-19.8,-174.35,100
Itarema,92,BR,1544017978,301.431,1.87,-2.92,-39.92,89
Thompson,5,CA,1544014800,246.15,3.6,55.74,-97.86,75
Roebourne,0,AU,1544018211,296.656,3.92,-20.77,117.15,56
Saint George,40,GR,1544016000,289.15,3.1,39.45,22.34,55
Lianran,0,CN,1544014800,284.15,10,24.92,102.47,53
Itapaci,92,BR,1544018211,297.681,1.67,-14.95,-49.55,97
Saryagash,0,KZ,1544016600,276.15,0.92,41.45,69.17,86
Ardakan,40,IR,1544016600,290.15,1,32.31,54.02,27
Luganville,88,VU,1544018212,298.631,3.77,-15.51,167.18,100
Petropavlovsk-Kamchatskiy,40,RU,1544014800,277.15,11,53.05,158.65,60
Broome,75,GB,1544016000,285.15,5.7,52.47,1.45,93
Yulara,40,AU,1544014800,301.15,3.1,-25.24,130.99,58
Lodwar,0,KE,1544018213,303.806,4.52,3.12,35.6,36
Pitimbu,75,BR,1544014800,304.15,4.6,-7.47,-34.81,58
Zhangye,64,CN,1544017957,258.981,1.57,38.94,100.46,72
Berlevag,75,NO,1544014200,270.15,3.1,70.86,29.09,85
Sao Miguel do Araguaia,92,BR,1544018078,296.206,1.52,-13.28,-50.16,100
Mitsamiouli,40,KM,1544014800,304.15,5.1,-11.38,43.28,74
Khor,32,RU,1544018118,254.706,4.52,47.88,134.96,46
Pevek,36,RU,1544017899,249.131,3.02,69.7,170.27,100
Sorong,44,ID,1544018007,300.806,1.32,-0.86,131.25,100
Narsaq,80,GL,1544017999,270.706,9.32,60.91,-46.05,81
Hualmay,8,PE,1544017890,294.156,1.77,-11.1,-77.61,76
Kutulik,36,RU,1544018215,242.831,1.37,53.35,102.79,65
Kruisfontein,32,ZA,1544017991,293.481,3.22,-34,24.73,71
Carnarvon,68,ZA,1544017872,301.206,6.17,-30.97,22.13,10
Rabo de Peixe,40,PT,1544014800,290.15,2.1,37.8,-25.58,67
Sabang,88,PH,1544018012,298.831,5.22,13.72,123.58,100
Rawson,88,AR,1544017973,287.381,6.17,-43.3,-65.11,60
Middelburg,88,ZA,1544018216,298.581,2.57,-25.77,29.46,40
Egvekinot,12,RU,1544017974,238.681,1.07,66.32,-179.17,48
Abu Dhabi,0,AE,1544014800,300.15,3.1,24.47,54.37,51
Giyon,0,ET,1544018216,294.456,0.92,8.53,37.98,55
Sitka,0,US,1544017906,267.381,3.57,37.17,-99.65,58
Pisco,90,PE,1544014800,295.15,3.6,-13.71,-76.2,30
Cabatuan,88,PH,1544018217,296.706,0.67,16.95,121.67,90
Tigzirt,0,DZ,1544018217,294.806,0.87,36.57,4.2,43
Castro,0,CL,1544014800,286.15,5.1,-42.48,-73.76,66
Bourail,92,NC,1544018218,295.881,1.27,-21.57,165.5,91
Klaksvik,24,FO,1544016000,276.15,6.2,62.23,-6.59,74
San Cristobal,75,EC,1544014800,286.15,1,-0.39,-78.55,93
Churapcha,64,RU,1544018020,239.031,3.17,62,132.43,47
Tarija,20,BO,1544014800,293.15,2.6,-21.53,-64.73,64
Darfield,92,NZ,1544016600,283.15,4.1,-43.49,172.11,93
East London,75,ZA,1544014800,296.15,8.7,-33.02,27.91,69
Eyl,56,SO,1544018039,300.231,8.17,7.98,49.82,88
Ponta do Sol,8,BR,1544017880,300.681,1.97,-20.63,-46,76
San Rafael,75,AR,1544016900,291.15,9.3,-34.61,-68.33,59
Katsuura,0,JP,1544017967,284.031,2.37,33.93,134.5,100
Kilindoni,20,TZ,1544018020,302.231,5.67,-7.91,39.67,98
Garelochhead,92,GB,1544016000,277.15,6.2,56.08,-4.83,93
Vazante,12,BR,1544018221,301.631,1.92,-17.99,-46.9,88
Socorro,88,PH,1544018222,296.481,1.52,13.06,121.41,100
College,20,US,1544014680,268.75,2.42,64.86,-147.8,89
Puerto Madryn,80,AR,1544017984,286.881,8.87,-42.77,-65.04,82
Maryborough,80,AU,1544018222,293.406,2.57,-25.54,152.7,84
Alofi,36,NU,1544014800,298.15,2.6,-19.06,-169.92,78
Bethel,75,US,1544014560,273.15,3.1,60.79,-161.76,92
Bat Yam,75,IL,1544016000,293.15,5.7,32.02,34.75,45
Sao Joao da Barra,0,BR,1544014800,303.15,2.1,-21.64,-41.05,62
Dauphin,90,CA,1544015640,265.15,2.1,51.15,-100.04,92
Nizwa,88,OM,1544018223,296.331,1.87,22.93,57.53,48
Lindas,75,NO,1544016000,276.15,5.7,60.74,5.16,93
Pangkalanbuun,68,ID,1544018224,296.531,0.72,-2.68,111.62,98
Iqaluit,90,CA,1544014800,259.15,5.1,63.75,-68.52,77
Aklavik,5,CA,1544014800,263.15,3.6,68.22,-135.01,85
Krasnomayskiy,20,RU,1544016600,240.15,1.37,55,82.52,74
San Patricio,0,PY,1544018007,303.181,1.47,-26.98,-56.83,61
Ahipara,88,NZ,1544017921,288.031,6.62,-35.17,173.16,95
Banda Aceh,48,ID,1544018225,296.831,1.12,5.56,95.32,100
Saint Anthony,1,US,1544014560,255.95,1.5,43.97,-111.68,78
Atuona,88,PF,1544017895,299.481,7.87,-9.8,-139.03,100
Sibolga,92,ID,1544017885,294.131,0.67,1.74,98.78,100
Port-Gentil,40,GA,1544014800,304.15,6.7,-0.72,8.78,70
Sobolevo,92,RU,1544017896,274.531,2.87,54.43,31.9,98
San Pedro,32,AR,1544018227,295.981,4.17,-33.68,-59.66,65
Anjar,75,LB,1544014800,291.15,5.7,33.73,35.93,72
Bayangol,12,MN,1544018129,239.081,1.52,48.91,106.09,44
Hasaki,75,JP,1544016600,287.15,4.1,35.73,140.83,71
Vao,88,EE,1544017991,275.056,6.77,59.1,26.19,92
North Bend,90,US,1544014560,278.15,3.1,43.41,-124.22,79
San-Pedro,8,CI,1544018228,303.956,4.52,4.75,-6.64,73
Port Macquarie,90,AU,1544014800,292.15,2.87,-31.43,152.91,77
Airai,20,TL,1544017917,294.631,0.12,-8.93,125.41,89
Kang,32,BW,1544018228,306.031,4.22,-23.67,22.79,25
Cabedelo,75,BR,1544014800,304.15,4.6,-6.97,-34.84,58
Waitati,64,NZ,1544018229,280.331,7.82,-45.75,170.57,88
Aykhal,0,RU,1544018015,238.381,1.77,65.95,111.51,49
Sambava,36,MG,1544018068,300.231,6.47,-14.27,50.17,100
Takhtamygda,32,RU,1544018229,247.281,3.12,54.1,123.57,42
Muzhi,92,RU,1544018230,265.156,2.87,65.4,64.7,89
Leningradskiy,44,RU,1544017890,252.156,12.32,69.38,178.42,100
Tessalit,0,ML,1544017877,303.031,4.77,20.2,1.01,14
La Ronge,5,CA,1544014800,253.15,3.1,55.1,-105.3,83
Vanino,80,RU,1544018230,269.731,4.32,53.93,40.55,93
Camden,90,US,1544016900,272.05,2.42,39.94,-75.12,73
Puerto Baquerizo Moreno,75,EC,1544014800,296.15,6.2,-0.9,-89.6,78
Trzebiatow,0,PL,1544016600,278.15,2.1,54.06,15.26,75
Tortoli,20,IT,1544014500,293.15,1.32,39.93,9.66,64
Coquimbo,0,CL,1544014800,292.15,4.1,-29.95,-71.34,59
Los Llanos de Aridane,0,ES,1544016600,298.15,2.1,28.66,-17.92,57
Ambilobe,44,MG,1544017996,295.981,0.52,-13.19,49.05,100
Saint-Francois,0,FR,1544016600,285.15,1.5,46.42,3.91,81
Faanui,36,PF,1544017902,298.531,2.67,-16.48,-151.75,100
Thiadiaye,0,SN,1544016600,308.15,5.7,14.42,-16.71,10
Norman Wells,40,CA,1544014800,256.15,2.6,65.28,-126.83,84
Abnub,75,EG,1544014800,294.15,7.2,27.27,31.15,49
Jatai,0,IN,1544018233,287.431,2.67,28.97,76.18,77
Miracema do Tocantins,92,BR,1544018234,297.656,1.87,-9.56,-48.4,100
Laguna,75,MX,1544015580,290.15,2.1,27.52,-110.01,51
Bilma,64,NE,1544018234,297.556,2.32,18.69,12.92,23
Bosaso,20,SO,1544014800,299.15,3.6,11.28,49.18,88
Sabha,0,LY,1544018110,294.181,3.57,27.03,14.43,32
Hoquiam,1,US,1544014380,274.85,4.6,46.98,-123.89,81
Kalianget,40,ID,1544016600,300.15,2.1,-7.35,109.91,88
Kirakira,88,SB,1544018141,299.131,3.17,-10.46,161.92,100
Minatitlan,75,MX,1544014800,296.15,1.82,19.39,-104.05,83
Portland,1,US,1544014560,275.95,2.1,45.52,-122.67,78
Artyom,12,RU,1544016600,260.15,1,43.36,132.19,71
Wahpeton,90,US,1544016900,267.35,4.6,46.27,-96.61,79
Lubu,92,CN,1544018236,293.581,1.02,23.17,112.28,98
Pacific Grove,90,US,1544015700,284.85,3.1,36.62,-121.92,73
Buenos Aires,40,AR,1544014800,294.15,4.6,-34.61,-58.44,56
Belle Fourche,1,US,1544016900,270.15,4.1,44.67,-103.85,42
Urgut,0,UZ,1544016600,279.15,3.1,39.41,67.25,75
Havelock,75,US,1544014680,279.25,1.5,34.88,-76.9,95
Nouakchott,0,MR,1544016600,306.15,4.1,18.08,-15.98,7
Mayo,75,CA,1544014800,255.15,1.37,63.59,-135.9,77
Acapulco,20,MX,1544013960,298.15,2.1,16.86,-99.88,88
Santa Maria,0,BR,1544018025,300.156,1.97,-29.69,-53.81,56
Montclair,90,US,1544014680,285.95,0.67,34.08,-117.69,53
Viedma,92,AR,1544017896,288.056,8.27,-40.81,-62.99,74
Colomi,0,BO,1544018239,290.706,1.02,-17.34,-65.87,55
Siparia,40,TT,1544014800,301.15,5.7,10.14,-61.51,74
Palafrugell,20,ES,1544016600,289.15,1.5,41.92,3.16,82
Ilo,90,PE,1544014800,294.15,2.1,-17.65,-71.34,73
Bizhbulyak,20,RU,1544018240,256.731,1.37,53.69,54.27,58
Aimores,32,BR,1544018241,300.706,1.77,-19.5,-41.06,79
Olinda,75,EC,1544014800,297.15,3.1,-2.03,-79.75,69
Pacifica,90,US,1544017200,284.85,5.92,37.61,-122.49,100
Namibe,75,AO,1544014800,297.15,5.1,-15.19,12.15,69
Akdepe,0,TM,1544016600,278.15,3.1,42.05,59.39,59
Uusikaupunki,48,FI,1544016000,275.15,5.1,60.8,21.41,86
Bubaque,0,GW,1544018038,303.706,1.42,11.28,-15.83,84
Strezhevoy,92,RU,1544016600,258.15,5,60.73,77.6,77
Presidencia Roque Saenz Pena,0,AR,1544018242,304.656,2.12,-26.79,-60.44,69
Krasnoyarka,40,RU,1544016600,259.15,6,55.33,73.1,65
Mar del Plata,32,AR,1544017915,286.881,2.82,-46.43,-67.52,56
Raudeberg,75,NO,1544016000,275.15,2.6,61.99,5.14,93
Nome,1,US,1544016900,277.55,3.02,30.04,-94.42,91
Port Pirie,20,AU,1544014800,298.15,3.6,-33.18,138.01,36
Muros,90,ES,1544016600,288.15,4.6,42.77,-9.06,93
Atar,0,MR,1544018043,305.906,3.32,20.52,-13.05,9
Kushima,92,JP,1544017930,289.031,2.47,31.5,131.29,100
Plettenberg Bay,44,ZA,1544018244,290.906,2.47,-34.05,23.37,89
Luwingu,44,ZM,1544018244,294.781,2.72,-10.26,29.92,88
Tura,76,IN,1544018108,289.431,0.97,25.52,90.21,88
Tiarei,0,PF,1544016600,297.15,1,-17.53,-149.33,83
Goderich,48,CA,1544017935,272.481,4.57,43.74,-81.71,88
La Sarre,48,CA,1544018245,267.906,4.42,48.8,-79.2,96
Saskylakh,76,RU,1544017952,253.781,4.67,71.97,114.09,75
Mae Sai,0,MM,1544014800,296.15,0.77,20.44,99.89,94
Iberia,20,PE,1544017952,302.481,1.67,-11.41,-69.49,71
Saint-Augustin,75,FR,1544014800,290.15,3.1,44.83,-0.61,82
Chiredzi,68,ZW,1544017956,308.581,4.57,-21.05,31.67,33
Coahuayana,8,MX,1544018069,295.206,1.32,18.62,-100.35,60
Prieska,20,ZA,1544018246,306.806,4.77,-29.67,22.74,9
Umba,92,RU,1544018247,273.781,5.72,66.69,34.34,99
Namatanai,64,PG,1544017886,301.931,2.52,-3.66,152.44,100
Vilhena,90,BR,1544014800,296.15,5.1,-12.74,-60.15,88
Ibra,0,OM,1544018048,289.131,0.97,22.69,58.55,54
Iracoubo,100,GF,1544018248,299.631,2.22,5.48,-53.21,79
Joshimath,44,IN,1544018248,262.656,0.32,30.57,79.57,100
Lutkun,64,RU,1544018248,274.906,0.42,41.48,47.69,88
Grand Gaube,20,MU,1544014800,302.15,4.6,-20.01,57.66,62
Avera,1,US,1544016900,275.95,5.1,33.19,-82.53,65
Inhapim,36,BR,1544018249,300.681,1.87,-19.55,-42.12,81
Oyama,75,JP,1544014800,283.15,3.1,36.31,139.8,61
Kudat,75,MY,1544014800,300.15,2.1,6.89,116.84,88
Mareeba,40,AU,1544016600,300.15,2.6,-16.99,145.42,78
Anloga,20,GH,1544014800,306.15,3.6,5.79,0.9,59
Blagoyevo,92,RU,1544017902,269.431,2.97,63.37,47.92,80
Iisalmi,90,FI,1544016000,274.15,2.6,63.56,27.19,100
Kamenka,76,RU,1544017934,269.806,4.12,53.19,44.05,95
Santa Luzia,40,BR,1544014800,298.15,2.1,-19.77,-43.85,61
Basco,1,US,1544016900,268.15,2.6,40.33,-91.2,92
San Jose,64,PH,1544018157,296.731,1.32,15.79,120.99,92
Jilib,88,SO,1544018252,301.656,3.47,0.49,42.79,78
Khutar,0,IN,1544018253,286.806,2.52,28.2,80.28,85
Chapais,90,CA,1544016600,260.15,4.1,49.78,-74.86,84
Alta Floresta,75,BR,1544014800,296.15,2.6,-9.87,-56.08,100
Santa Cruz,90,US,1544017200,284.85,2.57,36.97,-122.03,100
Qaqortoq,80,GL,1544017909,275.456,11.77,60.72,-46.03,77
Segovia,0,ES,1544016600,290.15,1.17,40.95,-4.12,59
Camacha,0,PT,1544014800,295.15,6.7,33.08,-16.33,56
Esperance,40,TT,1544014800,301.15,5.7,10.24,-61.45,74
Potosi,0,BO,1544014800,283.15,2.6,-19.59,-65.75,39
Orotukan,88,RU,1544018255,243.306,1.67,62.26,151.67,60
Conceicao da Barra,56,BR,1544018255,300.131,1.92,-18.59,-39.73,94
Igrim,88,RU,1544018256,267.206,3.12,63.19,64.42,89
Carutapera,92,BR,1544018022,300.581,1.67,-1.2,-46.02,89
Kahramanmaras,88,TR,1544018256,277.931,0.72,37.58,36.93,100
Grafton,90,AU,1544014800,294.15,1.5,-29.69,152.93,60
Devils Lake,90,US,1544016900,264.25,4.1,48.11,-98.87,100
Kichmengskiy Gorodok,92,RU,1544018257,270.581,4.32,59.99,45.81,87
Sept-Iles,20,CA,1544014800,258.15,2.6,50.2,-66.38,71
Norsup,76,VU,1544018139,298.731,3.32,-16.07,167.38,100
Volgorechensk,90,RU,1544016600,272.15,3,57.44,41.16,86
Tucumcari,1,US,1544014380,272.05,6.2,35.17,-103.73,71
Japura,76,ID,1544018258,297.381,0.87,-0.42,102.29,94
Esil,0,KZ,1544018258,256.481,1.67,51.96,66.41,69
Petauke,36,ZM,1544018258,307.031,3.72,-14.25,31.33,31
Zhaozhou,56,CN,1544018259,256.981,1.97,45.71,125.27,85
Sangar,0,RU,1544017940,227.956,1.27,63.92,127.47,0
Dubrovnik,0,HR,1544014800,286.15,6.7,42.65,18.09,24
Whitefish,90,US,1544014500,266.45,0.87,48.41,-114.33,84
Kapuskasing,90,CA,1544015220,270.15,3.6,49.42,-82.43,86
Palmares,24,BR,1544018260,304.056,3.72,-8.68,-35.59,61
Riyadh,0,SA,1544014800,298.15,3.1,24.63,46.72,31
Chumikan,32,RU,1544018176,249.631,9.07,54.72,135.31,71
Bayir,75,TR,1544016000,290.15,0.97,37.27,28.22,67
Peniche,20,PT,1544014800,286.15,1.5,39.36,-9.38,87
Kavieng,12,PG,1544017923,302.381,3.12,-2.57,150.8,100
Seoul,90,KR,1544016600,275.75,2.1,37.57,126.98,55
Port-Cartier,20,CA,1544014800,258.15,2.6,50.03,-66.88,71
Parys,0,ZA,1544018261,304.531,3.92,-26.9,27.46,17
Moerai,92,PF,1544018262,297.631,6.17,-22.43,-151.33,100
Novopokrovka,0,RU,1544018262,256.681,2.32,45.85,134.51,58
Moose Factory,90,CA,1544016720,267.15,4.6,51.26,-80.61,92
Vatne,75,NO,1544016000,277.15,4.1,62.56,6.61,64
Lahat,64,ID,1544018263,296.531,1.22,-3.78,103.55,95
Keti Bandar,0,PK,1544018070,298.281,4.02,24.14,67.45,96
Tera,75,CY,1544016600,292.15,3.1,34.97,32.42,68
Baykit,20,RU,1544018264,232.156,1.17,61.68,96.39,0
Palana,92,RU,1544018264,271.681,6.72,59.08,159.95,72
Alice Springs,0,AU,1544016600,298.15,2.1,-23.7,133.88,29
Batemans Bay,80,AU,1544018041,289.931,2.77,-35.71,150.18,94
Shingu,0,JP,1544017883,289.556,4.22,33.72,135.99,100
